process_count,teilSudokus,loesungs_zeit,gesamt_zeit
1,1,0.000039,0.000045
1,1,0.000041,0.000047
1,1,0.000048,0.000055
1,1,0.000041,0.000047
2,2,0.000042,0.000203
2,2,0.000051,0.000201
2,2,0.000042,0.000207
2,2,0.000042,0.000197
4,4,0.000044,0.000283
4,4,0.000046,0.000235
4,4,0.000041,0.000278
4,4,0.000044,0.000280
8,9,0.000039,0.000562
8,9,0.000038,0.000446
8,9,0.000041,0.000541
8,9,0.000042,0.000607
