"processes";"num_sudokus";"computing time [s]";"solution time [s]";"sudoku_init time [s]"
1;1;0.000439;0.000439;0.000132
1;1;0.000550;0.000550;0.000205
1;1;0.000438;0.000438;0.000134
1;1;0.000438;0.000438;0.000133
1;1;0.000443;0.000443;0.000139
1;1;0.000447;0.000447;0.000141
1;1;0.000465;0.000465;0.000141
1;1;0.000429;0.000429;0.000125
1;1;0.000445;0.000445;0.000126
1;1;0.000474;0.000474;0.000166
2;1;0.000671;0.000585;0.000129
2;1;0.000667;0.000577;0.000135
2;1;0.000687;0.000612;0.000131
2;1;0.000658;0.000585;0.000123
2;1;0.000711;0.000469;0.000130
2;1;0.000674;0.000593;0.000137
2;1;0.000684;0.000617;0.000126
2;1;0.000694;0.000619;0.000131
2;1;0.000736;0.000630;0.000147
2;1;0.000684;0.000597;0.000136
4;4;0.000831;0.000756;0.000154
4;4;0.000752;0.000665;0.000153
4;4;0.000760;0.000688;0.000148
4;4;0.000765;0.000657;0.000140
4;4;0.000707;0.000659;0.000139
4;4;0.000770;0.000703;0.000136
4;4;0.000785;0.000733;0.000152
4;4;0.000760;0.000659;0.000145
4;4;0.000726;0.000667;0.000140
4;4;0.000811;0.000733;0.000145
8;26;0.001009;0.000975;0.000181
8;26;0.001005;0.000908;0.000182
8;26;0.001078;0.001035;0.000183
8;26;0.001062;0.000938;0.000194
8;26;0.001038;0.000944;0.000184
8;26;0.001231;0.001050;0.000205
8;26;0.001068;0.000981;0.000183
8;26;0.001080;0.000940;0.000191
8;26;0.001211;0.000894;0.000181
8;26;0.001115;0.000997;0.000197
16;26;0.001960;0.001497;0.000190
16;26;0.001994;0.001619;0.000209
16;26;0.002077;0.001600;0.000206
16;26;0.002042;0.001501;0.000191
16;26;0.002021;0.001580;0.000202
16;26;0.001989;0.001524;0.000189
16;26;0.002251;0.001732;0.000234
16;26;0.001960;0.001571;0.000181
16;26;0.002030;0.001449;0.000209
16;26;0.002006;0.001514;0.000192
