"processes";"num_sudokus";"computing time [s]";"solution time [s]";"sudoku_init time [s]"
1;1;0.000451;0.000451;0.000146
1;1;0.000427;0.000426;0.000118
1;1;0.000433;0.000433;0.000125
1;1;0.000434;0.000434;0.000132
1;1;0.000425;0.000425;0.000119
1;1;0.000441;0.000441;0.000128
1;1;0.000449;0.000449;0.000139
1;1;0.000437;0.000437;0.000130
1;1;0.000430;0.000430;0.000122
1;1;0.000428;0.000428;0.000126
2;1;0.000669;0.000600;0.000127
2;1;0.000670;0.000585;0.000131
2;1;0.000656;0.000574;0.000125
2;1;0.000693;0.000608;0.000142
2;1;0.000680;0.000589;0.000126
2;1;0.000670;0.000600;0.000133
2;1;0.000682;0.000602;0.000135
2;1;0.000697;0.000603;0.000134
2;1;0.000704;0.000632;0.000134
2;1;0.000681;0.000590;0.000136
4;4;0.000754;0.000712;0.000143
4;4;0.000725;0.000683;0.000145
4;4;0.000777;0.000707;0.000156
4;4;0.000770;0.000711;0.000146
4;4;0.000759;0.000716;0.000147
4;4;0.000767;0.000651;0.000140
4;4;0.000766;0.000706;0.000146
4;4;0.000778;0.000716;0.000138
4;4;0.000774;0.000695;0.000149
4;4;0.000747;0.000678;0.000145
8;26;0.001044;0.000944;0.000187
8;26;0.001098;0.000963;0.000193
8;26;0.001202;0.001013;0.000204
8;26;0.001022;0.000949;0.000186
8;26;0.001033;0.000946;0.000184
8;26;0.001074;0.000941;0.000182
8;26;0.001027;0.000923;0.000190
8;26;0.001048;0.000979;0.000200
8;26;0.001044;0.000925;0.000189
8;26;0.001185;0.001038;0.000191
