"processes";"solution time [s]"
1;16.253593
1;16.378371
1;16.392501
1;16.334020
1;16.344829
1;16.376666
1;16.315318
1;16.464069
1;16.305081
1;16.237695
2;20.160972
2;19.564725
2;23.016671
2;22.315191
2;21.268970
2;21.956153
2;22.503158
2;22.600541
2;20.134350
2;19.839776
3;3.940273
3;4.034083
3;3.891571
3;3.890494
3;3.839859
3;3.967735
3;3.999372
3;4.010458
3;4.163653
3;3.892471
4;13.421247
4;10.738608
4;14.544960
4;13.438576
4;13.058732
4;27.723533
4;14.409468
4;13.517712
4;22.685189
4;13.715374
5;19.839219
5;21.713526
5;0.721828
5;21.967964
5;9.117486
5;9.399193
5;21.393378
5;0.820902
5;0.956736
5;0.782030
6;0.897826
6;1.053926
6;18.217699
6;1.039963
6;0.991562
6;22.033661
6;7.932830
6;8.332906
6;22.091462
6;21.778511
7;11.078081
7;0.975683
7;6.430570
7;15.417351
7;0.977838
7;1.070446
7;22.368120
7;6.314158
7;8.077169
7;21.053732
8;6.733041
8;16.835519
8;1.093850
8;16.318515
8;1.006237
8;1.091746
8;20.001394
8;1.048189
8;1.060081
8;1.034996
9;1.137574
9;1.185000
9;21.235372
9;8.551243
9;3.630720
9;1.214106
9;1.196923
9;23.965289
9;1.244468
9;9.262737
10;17.641293
10;11.320623
10;10.072982
10;23.913612
10;7.249973
10;24.899854
10;12.685379
10;6.912960
10;1.417202
10;1.499824
11;17.220307
11;1.648415
11;5.646701
11;11.548077
11;18.441834
11;7.478890
11;1.642342
11;20.551959
11;1.552735
11;1.595694
12;1.508480
12;1.453953
12;5.038932
12;2.245790
12;1.568727
12;1.398083
12;14.526530
12;1.373614
12;28.229197
12;28.154919
13;1.807855
13;14.913864
13;17.409548
13;19.326552
13;10.643574
13;1.662476
13;1.472204
13;13.591996
13;8.236590
13;1.676239
14;17.242260
14;15.815393
14;2.044152
14;28.273271
14;13.495940
14;2.010746
14;29.267568
14;1.952317
14;2.032339
14;0.677629
15;14.538833
15;2.213358
15;13.102795
15;28.890187
15;2.151843
15;2.098834
15;9.022590
15;2.327211
15;2.181960
15;2.197911
16;2.592908
16;2.538539
16;2.410429
16;2.465894
16;33.360908
16;2.500711
16;2.578339
16;19.565708
16;2.484452
16;2.682453
