"processes";"num_startSudokus";"solution time [s]";"sudoku_init time [s]"
1;1;0.000146;0.000490
1;1;0.000122;0.000463
1;1;0.000119;0.000464
1;1;0.000150;0.000492
1;1;0.000123;0.000464
1;1;0.000122;0.000469
1;1;0.000125;0.000473
1;1;0.000118;0.000482
1;1;0.000122;0.000481
1;1;0.000127;0.000468
2;2;0.000139;0.000513
2;2;0.000145;0.000520
2;2;0.000143;0.000518
2;2;0.000136;0.000509
2;2;0.000143;0.000515
2;2;0.000137;0.000537
2;2;0.000141;0.000516
2;2;0.000134;0.000514
2;2;0.000145;0.000532
2;2;0.000130;0.000509
3;4;0.000151;0.000544
3;4;0.000143;0.000533
3;4;0.000151;0.000551
3;4;0.000148;0.000538
3;4;0.000145;0.000539
3;4;0.000147;0.000543
3;4;0.000147;0.000537
3;4;0.000158;0.000559
3;4;0.000154;0.000547
3;4;0.000151;0.000551
4;4;0.000162;0.000539
4;4;0.000180;0.000545
4;4;0.000153;0.000516
4;4;0.000139;0.000518
4;4;0.000142;0.000505
4;4;0.000148;0.000524
4;4;0.000144;0.000510
4;4;0.000143;0.000516
4;4;0.000156;0.000535
4;4;0.000137;0.000579
5;6;0.000171;0.000327
5;6;0.000173;0.000335
5;6;0.000157;0.000316
5;6;0.000189;0.000353
5;6;0.000164;0.000324
5;6;0.000174;0.000336
5;6;0.000191;0.000372
5;6;0.000163;0.000324
5;6;0.000166;0.000321
5;6;0.000163;0.000317
6;6;0.000166;0.000344
6;6;0.000171;0.000350
6;6;0.000190;0.000387
6;6;0.000179;0.000358
6;6;0.000178;0.000364
6;6;0.000158;0.000358
6;6;0.000189;0.000359
6;6;0.000160;0.000339
6;6;0.000173;0.000398
6;6;0.000167;0.000332
7;26;0.000209;0.000405
7;26;0.000197;0.000412
7;26;0.000195;0.000398
7;26;0.000220;0.000483
7;26;0.000200;0.000402
7;26;0.000192;0.000399
7;26;0.000206;0.000415
7;26;0.000196;0.000394
7;26;0.000195;0.000410
7;26;0.000234;0.000470
8;26;0.000250;0.000493
8;26;0.000215;0.000465
8;26;0.000272;0.000518
8;26;0.000223;0.000440
8;26;0.000214;0.000447
8;26;0.000216;0.000462
8;26;0.000224;0.000513
8;26;0.000253;0.000547
8;26;0.000206;0.000449
8;26;0.000196;0.000419
9;26;0.000226;0.000480
9;26;0.000234;0.000480
9;26;0.000209;0.000452
9;26;0.000215;0.000478
9;26;0.000201;0.000474
9;26;0.000224;0.000471
9;26;0.000236;0.000525
9;26;0.000206;0.000449
9;26;0.000219;0.000472
9;26;0.000228;0.000475
10;26;0.000245;0.000537
10;26;0.000260;0.000554
10;26;0.000246;0.000512
10;26;0.000217;0.000488
10;26;0.000239;0.000529
10;26;0.000283;0.000573
10;26;0.000221;0.000499
10;26;0.000250;0.000540
10;26;0.000258;0.000533
10;26;0.000218;0.000521
11;26;0.000266;0.000649
11;26;0.000250;0.000563
11;26;0.000247;0.000576
11;26;0.000236;0.000546
11;26;0.000256;0.000592
11;26;0.000274;0.000555
11;26;0.000303;0.000596
11;26;0.000266;0.000544
11;26;0.000237;0.000529
11;26;0.000232;0.000517
12;26;0.000226;0.000553
12;26;0.000223;0.000537
12;26;0.000253;0.000589
12;26;0.000231;0.000529
12;26;0.000240;0.000530
12;26;0.000239;0.000536
12;26;0.000229;0.000530
12;26;0.000311;0.000648
12;26;0.000214;0.000521
12;26;0.000237;0.000541
13;26;0.000256;0.000590
13;26;0.000258;0.000614
13;26;0.000271;0.000641
13;26;0.000267;0.000640
13;26;0.000253;0.000627
13;26;0.000275;0.000609
13;26;0.000266;0.000638
13;26;0.000219;0.000538
13;26;0.000306;0.000667
13;26;0.000234;0.000605
14;26;0.000254;0.000643
14;26;0.000247;0.000603
14;26;0.000257;0.000612
14;26;0.000270;0.000781
14;26;0.000237;0.000622
14;26;0.000240;0.000585
14;26;0.000243;0.000582
14;26;0.000234;0.000577
14;26;0.000268;0.000680
14;26;0.000237;0.000589
15;26;0.000238;0.000684
15;26;0.000254;0.000628
15;26;0.000248;0.000616
15;26;0.000253;0.000725
15;26;0.000258;0.000686
15;26;0.000260;0.000676
15;26;0.000281;0.000674
15;26;0.000282;0.000683
15;26;0.000274;0.000681
15;26;0.000243;0.000641
16;26;0.000250;0.000675
16;26;0.000245;0.000720
16;26;0.000230;0.000686
16;26;0.000229;0.000645
16;26;0.000228;0.000627
16;26;0.000289;0.000687
16;26;0.000272;0.000759
16;26;0.000282;0.000786
16;26;0.000260;0.000684
16;26;0.000264;0.000717
